Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	LFQ intensity Naive 1	LFQ intensity Naive 2	LFQ intensity Naive 3	LFQ intensity Primed 1	LFQ intensity Primed 2	LFQ intensity Primed 3	log2 fold change	p-value
Q13190;B4DKR0;E9PNU4;H7C3X5;E9PP18;E9PRW9;H0YEJ8	Q13190;B4DKR0;E9PNU4;H7C3X5	Syntaxin-5	STX5;STX5A	23.88353	24.20277	23.84412	25.23232	25.53288	25.48434	-1.439705531	3.216681591
Q13200;Q59EG8;B4DM22;Q9NSM5;Q13041;C9JPC0;H7C1H2;H7C2Q3;F8WBS8	Q13200;Q59EG8;B4DM22;Q9NSM5	26S proteasome non-ATPase regulatory subunit 2	PSMD2;DKFZp564A2282	29.11066	29.08806	28.88716	29.00445	29.64272	30.00985	-0.523716609	0.801007108
Q13206;E9PIF2;Q59EC7;Q86VR6;B4DKX3	Q13206;E9PIF2;Q59EC7;Q86VR6;B4DKX3	Probable ATP-dependent RNA helicase DDX10	DDX10	30.74375	30.62723	30.65821	30.52421	30.0715	29.6942	0.579758326	1.124559217
Q13242;A8K3M9;H0YIB4;S4R3G0;B4DFT9	Q13242;A8K3M9;H0YIB4	Serine/arginine-rich splicing factor 9	SRSF9	31.19929	31.0855	31.01744	31.6096	31.46075	31.30948	-0.359201431	1.617958654
Q13257;A0A0S2Z414	Q13257	Mitotic spindle assembly checkpoint protein MAD2A	MAD2L1	25.95407	25.32316	25.46663	26.31185	26.54075	26.13532	-0.748018265	1.539076899
Q13263;B2R8R5;M0R3C0;M0R2I3	Q13263;B2R8R5	Transcription intermediary factor 1-beta	TRIM28	34.866	34.81964	34.85842	33.85777	33.78965	33.62102	1.091874441	3.962070349
Q13308;Q59FV9;B3KP36;C9JQR6;Q9NSQ6;H0Y8F1;Q86X91;H7C5L0;B7Z471;C9J9E8;F8WDG7	Q13308;Q59FV9	Inactive tyrosine-protein kinase 7	PTK7	21.49725	22.31738	23.71887	26.03141	26.5145	26.72351	-3.911975225	2.343683601
Q13310;B1ANR0;Q15164;H0YCC8;H0YEQ8;B1ANR1;H0YER0;P0CB38	Q13310;B1ANR0	Polyadenylate-binding protein 4;Polyadenylate-binding protein	PABPC4	27.52103	27.22812	26.98663	28.5423	29.34077	29.52356	-1.890280406	2.2968926
Q13315;A0A024R3C7;E9PIN0;B4DSP3;Q68DE6;M0QXY8;A0A087X0E9;E9PRG7;Q6P7P1;E9PIQ5;Q59GH6;E2I6F3;Q8TDS2;Q8TDS0;A8WFP7;Q96QM9;H0YDU7	Q13315;A0A024R3C7	Serine-protein kinase ATM	ATM	28.66452	28.49724	28.676	28.64478	28.55508	28.39342	0.08149147	0.363779644
Q13322;Q75M93;Q75MT1;O00428	Q13322;Q75M93	Growth factor receptor-bound protein 10	GRB10	24.70224	24.31154	24.09748	24.98372	25.06032	25.08792	-0.673568726	1.698953498
Q13395	Q13395	Probable methyltransferase TARBP1	TARBP1	22.5882	22.84249	22.64388	22.70753	22.53217	23.03602	-0.067048391	0.149985855
Q13427;Q2NKQ6;E9PG73;Q32LZ0;C9JM79;C9JN15;Q6P432;C9JT64;C9J679	Q13427;Q2NKQ6;E9PG73;Q32LZ0;C9JM79;C9JN15;Q6P432	Peptidyl-prolyl cis-trans isomerase G;Peptidyl-prolyl cis-trans isomerase	PPIG	29.4055	29.05295	29.29384	28.66936	28.46634	28.31393	0.767551422	2.199202382
Q13428;Q59FZ2	Q13428	Treacle protein	TCOF1	31.55476	31.16051	31.37441	30.81749	30.69536	29.63033	0.98216629	1.172503615
Q13432;C9JSK0;Q6MZL1;J3QQT8;K7EJU3;K7EN86;B3KW87	Q13432;C9JSK0;Q6MZL1	Protein unc-119 homolog A	UNC119;DKFZp686E1393	22.83326	21.15836	22.9551	23.70187	23.66752	23.93715	-1.453275681	1.166465568
Q13435;E9PPJ0;Q7Z3K9;H0YEX5	Q13435;E9PPJ0;Q7Z3K9	Splicing factor 3B subunit 2	SF3B2;DKFZp781L0540	32.62471	32.37762	32.60172	32.18086	32.06246	32.17584	0.394958496	1.965454027
Q13439;H0Y6I0;A8K3D5;Q9H2G3;C9JHJ5;A0A076NA11;B4DTF3;E7EVX2;Q49A56;A0A087WTW2;Q5GHI6;Q86W71	Q13439;H0Y6I0	Golgin subfamily A member 4	GOLGA4	28.70639	28.76132	28.48631	27.60116	27.74862	27.76383	0.946805954	3.179656683
Q13442;F8WBW6	Q13442	28 kDa heat- and acid-stable phosphoprotein	PDAP1	26.28078	26.12682	26.16875	27.69192	27.76806	27.73324	-1.538961411	5.1453313
Q13464;D9ZGF8;A0A0U1RQV4	Q13464;D9ZGF8;A0A0U1RQV4	Rho-associated protein kinase 1;Rho-associated protein kinase	ROCK1	24.85904	22.8735	23.2832	27.37302	27.65417	27.76661	-3.926020304	2.506289685
Q13472;B4DSJ0;K7ELI7;A8K398;K7EMT6;J3KRR9;J3KS96;J3QS25;J3QR18	Q13472	DNA topoisomerase 3-alpha	TOP3A	27.96857	27.66486	27.97771	27.09527	26.93393	26.77228	0.936549505	2.599701266
Q13492;A0A024R5P1;A8K5U9;A0A024R5L7;B5BU72;E9PLJ8;E9PI56;E9PKP6;H0YCY1;H0UI15;E9PDG8;E5RGY9;O60641;E5RIJ5;E5RK51;E5RFC6;E9PK13;E5RHK9;E5RFU0;E9PJT1;A0MWC9;B7Z2N2	Q13492;A0A024R5P1;A8K5U9;A0A024R5L7;B5BU72	Phosphatidylinositol-binding clathrin assembly protein	PICALM	27.0336	27.21577	26.85043	28.59822	28.52992	28.74567	-1.591337204	3.683752779
Q13501;E7EMC7;B4E3V2;Q13502	Q13501;E7EMC7;B4E3V2	Sequestosome-1	SQSTM1	25.59616	25.58368	25.89139	27.6392	27.28789	27.27906	-1.711638133	3.412187614
Q13509;Q9BV28;Q53G92;B2RBD5;A0A0B4J269;Q3ZCR3;G3V2A3;G3V5W4;G3V2R8;G3V3R4;G3V2N6;G3V3J6;G3V3W7	Q13509;Q9BV28;Q53G92;B2RBD5;A0A0B4J269;Q3ZCR3	Tubulin beta-3 chain	TUBB3	26.514	26.7239	26.84434	27.26428	27.72819	27.9262	-0.945475896	1.906586092
Q13526;K7EMU7;B3KUM4;K7EN45;Q8NFL2;Q49AR7;O15428	Q13526;K7EMU7;B3KUM4;K7EN45	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	PIN1	28.72312	28.47927	28.50896	28.39309	28.34486	28.10779	0.288537979	1.160318797
Q13535;H0Y9K2;D6RFJ6;D6RIG7;H0Y8Y6	Q13535	Serine/threonine-protein kinase ATR	ATR	26.66207	26.20214	26.44096	27.14647	27.0879	26.97082	-0.6333402	1.947223731
Q13546;A0A024QZU0;B3KU53	Q13546;A0A024QZU0	Receptor-interacting serine/threonine-protein kinase 1	RIPK1	24.04394	24.1991	22.62593	24.80164	24.84895	25.48689	-1.422837575	1.22173512
Q13557;E9PF82;E9PBG7;A0A024RDK3;D6R938;B7Z2B0;H0Y9J2;Q4G1A8;Q92991;A8K161;Q8IWE0;Q7LDD5;H0Y9C2;Q9UQM7;E7EQE4;E9PBE8;D6RHX9	Q13557;E9PF82;E9PBG7;A0A024RDK3;D6R938;B7Z2B0;H0Y9J2	Calcium/calmodulin-dependent protein kinase type II subunit delta	CAMK2D	23.7963	23.91053	23.11576	24.94552	25.71586	25.33276	-1.723849614	2.178288685
Q13564;H3BMR3;J3QRA5;J3QLH4;J3KTE3	Q13564	NEDD8-activating enzyme E1 regulatory subunit	NAE1	25.07157	24.82663	24.93549	25.93589	26.10617	26.0276	-1.078659693	3.628370843
Q13573;Q6I9S2;B7Z9X2;B4DY36;A0A024R6E3;G3V3A4;B4DEG7;G3V4X8;Q6P151;Q9ULA6;Q0D2M5;G3V5R3	Q13573;Q6I9S2;B7Z9X2;B4DY36;A0A024R6E3;G3V3A4;B4DEG7;G3V4X8;Q6P151;Q9ULA6;Q0D2M5	SNW domain-containing protein 1	SNW1	31.81257	31.64427	31.80828	30.65813	30.52757	30.5775	1.167305628	4.190693941
Q13601	Q13601	KRR1 small subunit processome component homolog	KRR1	29.4831	29.42922	29.51362	29.02372	28.52414	27.93433	0.98125267	1.444048828
Q13619;A0A0A0MR50;B2RBV7;B4DKT2;A0A087WWN2	Q13619;A0A0A0MR50;B2RBV7;B4DKT2	Cullin-4A	CUL4A	29.23537	29.46721	29.36526	29.29559	29.14236	29.26548	0.121468226	0.673836756
Q13620	Q13620	Cullin-4B	CUL4B	30.64993	30.6842	30.71718	29.33639	29.25541	29.31782	1.380564372	5.803925006
Q13627;B4DX02;B4DXU2;A0A024R0J6;A0A024R0M8;B3KQI0;A0A024R0I0;Q9Y463;O94789;E7EMI5;M0R2X3;M0R131;Q76N25;Q15446	Q13627	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	DYRK1A	24.30751	24.25314	24.39911	25.0041	25.86238	25.68579	-1.197503408	1.97127793
Q13643;Q9P100;Q96C98	Q13643;Q9P100;Q96C98	Four and a half LIM domains protein 3	FHL3	25.9646	26.34021	26.07227	26.16685	26.06969	26.12638	0.004715602	0.013540368
Q13724;Q58F09;C9J8D4;A8K9K4;C9JDQ1;B8ZZE2	Q13724;Q58F09;C9J8D4;A8K9K4	Mannosyl-oligosaccharide glucosidase	MOGS;GCS1	26.89412	26.81641	26.92999	27.0239	27.38796	27.34993	-0.373759588	1.443921771
Q13796;F5H3B6;B7Z682;Q68DU3;C9IZC6;B3KU73	Q13796	Protein Shroom2	SHROOM2	26.73104	26.75532	26.65103	26.52349	26.68365	26.54209	0.129387538	1.019325878
Q13838;A0A024RCM3;Q5STU3;A0A0G2JJZ9;F6WLT2;B4DP52;A0A140T9X3;F6TRA5;A0A0A0MT12;F6S4E6;A0A140T996;Q59G92;A0A140T9X9;A0A140TA18;F6UJC5;A0A140T9K1;A0A140T973;B4DIJ6;A0A140T9L4;B4DIZ8;F6R6M7;Q7KYK3;A0A0G2JJL7;F6QYI9;A0A0G2JHN7;H0YCC6;F6S2B7;F6U6E2;B4DH55;A0A140T9N3;A0A140T9K2	Q13838;A0A024RCM3;Q5STU3;A0A0G2JJZ9;F6WLT2;B4DP52;A0A140T9X3;F6TRA5;A0A0A0MT12;F6S4E6;A0A140T996;Q59G92;A0A140T9X9;A0A140TA18;F6UJC5	Spliceosome RNA helicase DDX39B	DDX39B;hCG_2005638	30.9951	30.97213	30.90175	30.99152	30.82183	31.18831	-0.044228872	0.150543216
Q13868;A3KFL2;A3KFL5;B4E001;B3KQW2;A3KFL1;A2VCR1	Q13868;A3KFL2;A3KFL5;B4E001;B3KQW2;A3KFL1	Exosome complex component RRP4	EXOSC2	27.41337	27.83599	27.47816	27.68999	27.54377	27.48493	0.002941132	0.006663221
Q13884;E5RIX7	Q13884	Beta-1-syntrophin	SNTB1	22.43739	22.70194	21.72744	24.85038	24.76238	24.97106	-2.572353363	3.008872855
Q13887;Q5T6X2;A0A0A0N0M4;B4DL96;B4E2I1;B3KNE6;O75840;A0A0A0N0L4;Q9HBZ3;A0A024R3X8;Q4ZG79;V5M1V5;B9UZC4;B9UZC6;Q7Z3W8;B9UZC7;Q99612;Q9Y5W3;Q13351;D3GC14	Q13887;Q5T6X2;A0A0A0N0M4;B4DL96;B4E2I1	Krueppel-like factor 5	KLF5;Klf5	26.75085	26.42366	26.40066	23.7308	22.5537	23.04232	3.416117986	3.16378168
Q13895;H7BY94;F8WBL2	Q13895	Bystin	BYSL	30.0238	30.31051	30.18601	29.6601	29.44979	29.14875	0.753892899	1.94360369
Q13907;C9JKM8;C9JD53	Q13907	Isopentenyl-diphosphate Delta-isomerase 1	IDI1	24.17165	25.08627	25.14763	25.74057	26.26619	26.52488	-1.37536176	1.610937409
Q13948;Q3LIA3;A0A097ZMP4;A0A097ZMP6;Q75MT4;B4DMN0;Q9BZV4	Q13948;Q3LIA3;A0A097ZMP4;A0A097ZMP6	Protein CASP	CUX1;Nbla10317;CUX1-RETc;CUX1-RETa	25.78292	25.59963	25.69959	27.68973	27.8276	27.68585	-2.04034551	5.06961339
Q13951;A0A024R6X2;J3KS23	Q13951;A0A024R6X2;J3KS23	Core-binding factor subunit beta	CBFB	26.47112	26.25371	26.31124	26.38635	26.26442	25.90637	0.159641266	0.432301584
Q14008;Q8IYN5;Q8NAH3;E9PQH5;H0YDX5;H0YCF6;H0YEK7	Q14008	Cytoskeleton-associated protein 5	CKAP5	28.99623	29.10435	28.93435	29.70132	30.00985	30.00651	-0.894253413	2.849859417
Q14011;Q53XX5;B4E2A3;K7EQR7;K7ER40;K7EPM4;K7EMY9;K7EJV1;Q6ZR81;K7ELT6;K7EJV5;K7ELV6;K7ENX8;D6W5Y5;K7ENN6;K7EQL0;K7EIF7;K7EQX4	Q14011;Q53XX5;B4E2A3;K7EQR7;K7ER40;K7EPM4;K7EMY9;K7EJV1;Q6ZR81;K7ELT6;K7EJV5;K7ELV6;K7ENX8;D6W5Y5	Cold-inducible RNA-binding protein	CIRBP	28.35976	28.4477	28.37327	28.52522	28.52171	28.28524	-0.050479889	0.236411059
Q14019;H3BT58	Q14019	Coactosin-like protein	COTL1	24.68303	23.19552	21.55617	25.48284	25.67352	25.60902	-2.443551381	1.267224674
Q14119;J3QSH4;J9JIC7	Q14119;J3QSH4;J9JIC7	Vascular endothelial zinc finger 1	VEZF1	24.07292	22.61183	24.67928	26.62979	26.28986	25.95156	-2.502391815	1.750530023
Q14126;J3KSI6	Q14126	Desmoglein-2	DSG2	27.69677	27.46832	27.42926	27.45309	27.8098	27.66173	-0.110091527	0.342890073
Q14137;B2RDN4;A8K3R2;B4DEN9;Q4G0D9;Q6DKJ9;A0A075B729	Q14137;B2RDN4;A8K3R2;B4DEN9;Q4G0D9;Q6DKJ9	Ribosome biogenesis protein BOP1	BOP1	30.85586	30.64899	30.79807	29.95975	29.64294	29.14105	1.186395009	2.069142301
Q14139;B4DK32;B7Z7P0;Q05BZ7	Q14139;B4DK32	Ubiquitin conjugation factor E4 A	UBE4A	22.82712	23.32809	22.44995	23.61941	23.72567	23.82153	-0.85381635	1.512424138
Q14147;A0A024R0R8;B4E3G3;H7C504	Q14147;A0A024R0R8	Probable ATP-dependent RNA helicase DHX34	DHX34	27.58362	27.33816	27.56471	26.62185	26.18029	26.13712	1.182410558	2.612801115
Q14151;A0PJ47;B4DU53;K7ERX3;K7EQU4	Q14151;A0PJ47	Scaffold attachment factor B2	SAFB2	30.41931	30.24127	30.44539	29.76134	29.72603	29.34803	0.75685819	2.170579946
Q14157;B4DYY5;F8W726;Q5VU77;Q5VU79;Q5VU78;Q5VU81;Q5VU80;H0Y5H6;H7C2T8	Q14157;B4DYY5;F8W726	Ubiquitin-associated protein 2-like	UBAP2L	26.71057	27.03957	26.62742	28.84634	29.51041	30.12312	-2.700772603	2.64347289
Q14165;F5H1S8;H0YG07;F5GX14	Q14165;F5H1S8	Malectin	MLEC	24.27099	24.64554	24.45117	24.8206	24.94588	25.61296	-0.670580546	1.173663074
Q14166;A0A024R4U3;V9GY16	Q14166;A0A024R4U3	Tubulin--tyrosine ligase-like protein 12	TTLL12	29.74865	29.751	29.7072	29.15873	29.48297	29.25106	0.4380277	1.96333783
Q14168;A0A0C4DH75;D3DX49;A0A0D9SFF8;A0A0A0MRU0;B4DRL7;D3DX48;B4DZ84;B4DS08;E5RI47;A0A087WVY2;A0A087X0C7;E5RIU3;E5RI32;E5RK44;E5RJK0;E5RK50;E5RFN8	Q14168;A0A0C4DH75;D3DX49;A0A0D9SFF8;A0A0A0MRU0;B4DRL7;D3DX48;B4DZ84;B4DS08	MAGUK p55 subfamily member 2	MPP2	24.81191	25.63661	24.76971	25.58469	26.14651	25.9785	-0.830486933	1.191498203
Q14181;B3KSX6;E9PIQ6;H0YDR7	Q14181	DNA polymerase alpha subunit B	POLA2	27.87209	28.00207	27.87713	27.55252	27.69518	27.68271	0.273623784	1.928150261
Q14191;Q59F09	Q14191;Q59F09	Werner syndrome ATP-dependent helicase	WRN	27.1812	27.04469	27.13134	27.27435	27.01755	26.88518	0.060047785	0.189933236
Q14204;H0YJ21;B4DSR6;Q6P2H7;Q9NRC3;Q92862	Q14204	Cytoplasmic dynein 1 heavy chain 1	DYNC1H1	31.58965	31.7007	31.50261	32.37855	32.88458	32.86826	-1.112811406	2.497903346
Q14232;F5H0D0;H0YGG4	Q14232;F5H0D0	Translation initiation factor eIF-2B subunit alpha	EIF2B1	26.24569	26.2624	26.19794	26.02802	26.35921	26.71568	-0.132294973	0.26480621
Q14240;E7EQG2;Q9NZE6;B4DJX6;Q96B07;J3KSN7	Q14240;E7EQG2;Q9NZE6;B4DJX6;Q96B07	"Eukaryotic initiation factor 4A-II;Eukaryotic initiation factor 4A-II, N-terminally processed"	EIF4A2	26.41677	25.989	25.80107	27.67445	27.95848	27.75856	-1.728218714	3.000060366
Q14257;H0YL43;A8MXP8	Q14257;H0YL43;A8MXP8	Reticulocalbin-2	RCN2	24.75827	24.88581	25.00359	25.90832	26.40393	26.16139	-1.27532196	2.875670348
Q14258	Q14258	E3 ubiquitin/ISG15 ligase TRIM25	TRIM25	26.99572	27.138	26.97356	27.19282	27.33892	27.29457	-0.239677429	1.628596233
Q14315;Q59H94;B3KM41;A4D1J9	Q14315;Q59H94	Filamin-C	FLNC	26.90323	26.96763	26.56924	25.7285	24.97404	27.25016	0.829132716	0.537421725
Q14320;B0S8I6;A0A024QZY3;Q9Y247	Q14320;B0S8I6	Protein FAM50A	FAM50A	30.93832	30.81352	30.79746	28.77486	28.93949	28.77684	2.019367854	5.055682156
Q14331;E9PRR7;E9PLY7;Q96ND1;Q05D61;J3KSQ7;Q96MD3	Q14331	Protein FRG1	FRG1	27.62749	27.48662	27.55516	26.65294	26.57152	26.44058	1.001406352	3.762344045
Q14444;G3V153;B3KXU8;E9PLA9;B4DSF8	Q14444;G3V153;B3KXU8;E9PLA9;B4DSF8	Caprin-1	CAPRIN1	25.59135	26.1468	25.50203	27.79079	28.35976	29.20072	-2.703695933	2.390257467
Q14498;B4DRA0;B4E1M7;Q68DD9;B3KWX7;B4DLM0;Q6N037;G3XAC6;E1P5S2;Q6MZY7;B7Z4L7;Q7Z3L0;A0A0U1RQH7;H0Y4X3;A0A0U1RQW2;Q5QP23;Q5QP22;A8MYG5;F2Z2Z5;F8WF24;F2Z3E6;F8WF73;A0A087X122	Q14498;B4DRA0;B4E1M7;Q68DD9;B3KWX7;B4DLM0;Q6N037;G3XAC6;E1P5S2;Q6MZY7;B7Z4L7;Q7Z3L0;A0A0U1RQH7;H0Y4X3;A0A0U1RQW2	RNA-binding protein 39	RBM39;DKFZp781C0423;DKFZp686A11192;RNPC2;DKFZp686C17209;DKFZp781I1140	32.52676	32.17596	32.34668	31.55303	31.41966	31.22418	0.950842539	2.619383363
Q14566;Q4ZG57;B4DRF6;B4E0N7;Q53T61	Q14566;Q4ZG57	DNA replication licensing factor MCM6	MCM6	32.31792	32.31279	32.38779	31.99661	32.06458	32.00212	0.3183918	3.21248075
Q14571	Q14571	"Inositol 1,4,5-trisphosphate receptor type 2"	ITPR2	21.60213	22.72691	22.72572	25.69607	25.85921	25.88756	-3.462688446	3.096886667
Q14573;Q59ES2;A6H8K3;Q59H91	Q14573;Q59ES2	"Inositol 1,4,5-trisphosphate receptor type 3"	ITPR3	21.6793	22.92298	22.56626	24.0242	25.01333	22.65694	-1.508646011	0.906341798
Q14592;A8K7X9	Q14592;A8K7X9	Zinc finger protein 460	ZNF460	23.86353	24.42515	24.53261	24.78097	23.8227	23.85747	0.120053609	0.116008448
Q14593;M0R120;E9PL30;Q13581;M0QY93	Q14593	Zinc finger protein 273	ZNF273	25.2359	25.96402	26.03349	22.14341	23.95198	22.74135	2.798886617	2.045275892
Q14653;A0A024QZE1;E2GIM5;M0QYT9;Q96GL3;M0QZB7;M0QZB8;M0R205;E2GIM7;M0R0X9;M0QXC8;E2GIM9;M0R0R8;E2GIM8;M0R3C2;M0R007;M0QYX3;E2GIM6;M0R3E9;M0QX56	Q14653;A0A024QZE1;E2GIM5;M0QYT9;Q96GL3;M0QZB7;M0QZB8;M0R205;E2GIM7;M0R0X9;M0QXC8;E2GIM9	Interferon regulatory factor 3	IRF3	22.59176	22.36845	22.76427	24.59337	24.86074	24.76865	-2.166094462	4.006278644
Q14669;H7C2Y1;Q57Z94	Q14669	E3 ubiquitin-protein ligase TRIP12	TRIP12	30.48999	30.40131	30.45278	30.02999	29.82557	29.6149	0.624539693	2.154709388
Q14671;H0YEH2;E9PR38;D5HR47;D5HR46;E9PMX1;H0YDC5;E9PM68;E9PL65;H0YDQ6	Q14671;H0YEH2;E9PR38	Pumilio homolog 1	PUM1	26.241	26.26916	26.15742	28.0203	28.70144	28.99132	-2.348494848	2.899795124
Q14678;Q6PIB3;A8K1W3;Q86TE2;Q8WUM7	Q14678;Q6PIB3;A8K1W3;Q86TE2;Q8WUM7	KN motif and ankyrin repeat domain-containing protein 1	KANK1;DKFZp451G231	21.79732	22.67052	21.53964	26.7406	26.29516	26.99151	-4.673261007	3.520683779
Q14683;G8JLG1;Q6P2R1;Q6MZR8;A8K7A6;B7Z709;Q68EN4;H0Y7K8;Q5H934;V9GY57;Q7Z4C6;V9GYN9	Q14683;G8JLG1;Q6P2R1;Q6MZR8;A8K7A6	Structural maintenance of chromosomes protein 1A;Structural maintenance of chromosomes protein	SMC1A;DKFZp686L19178	32.55117	32.20312	32.44374	32.59125	32.44783	32.11198	0.015655518	0.030043096
Q14684;Q6PJM8	Q14684	Ribosomal RNA processing protein 1 homolog B	RRP1B	31.53737	31.35005	31.50294	31.32775	31.16081	30.61623	0.428527832	0.898671147
Q14687;Q59GZ0;H0Y613;H7C3B5;C9JLW9	Q14687;Q59GZ0;H0Y613	Genetic suppressor element 1	GSE1	27.43293	27.44719	27.46115	26.88227	26.56139	26.84852	0.683029175	2.585139045
Q14690;B4DH82;B4DES7;S4R3Q4	Q14690;B4DH82	Protein RRP5 homolog	PDCD11	33.28306	33.14297	33.35574	32.72503	32.39665	31.70041	0.986557643	1.482130485
Q14691;B4DGH0	Q14691;B4DGH0	DNA replication complex GINS protein PSF1	GINS1	25.48204	25.45911	25.6049	24.86117	25.05565	24.7348	0.63147672	2.434276027
Q14692;B4DGU7	Q14692	Ribosome biogenesis protein BMS1 homolog	BMS1	31.29669	31.1471	31.22389	30.99591	30.74085	30.09182	0.61303393	1.056853755
Q14694;Q6P2I0;H3BQP1;J3KT19;H3BQC6;B4DDR4;H3BNS8;H3BNA1;H3BVF1	Q14694	Ubiquitin carboxyl-terminal hydrolase 10	USP10	25.92282	25.87708	26.11658	27.07112	27.51856	28.18286	-1.618684769	2.090577474
Q14764;X5D2M8;X5D7K9;B4DDR2;B4DXN0;X5DNU0;X5D7S8;B4DP93;X5DP24;X5D7R7;X5DP17;H3BQK6;H3BRL2;H3BNF6;H3BUK7;H3BP76;I3L155	Q14764;X5D2M8;X5D7K9;B4DDR2;B4DXN0;X5DNU0;X5D7S8;B4DP93;X5DP24;X5D7R7;X5DP17;H3BQK6	Major vault protein	MVP	22.87213	23.32169	22.91665	22.8156	22.10719	22.63424	0.517812729	0.945934197
Q14781	Q14781	Chromobox protein homolog 2	CBX2	26.8375	26.72364	27.03633	28.53564	28.36574	27.98767	-1.430526098	2.813708353
Q14789;E7EU81;B4DTZ9;H0Y867;B4DL98;B4DQW7;Q6PG47;H7C5I7;F8WF12;C9J8Q0	Q14789	Golgin subfamily B member 1	GOLGB1	30.67825	30.65113	30.43569	31.24858	31.23009	30.90175	-0.538449605	1.774327553
Q14807;A0A024R632;B7Z9T5;H3BRB3;Q14985;O60846;H3BTH5;Q14984;Q7LE35;I3L306;H3BQB9;B4DNF2	Q14807;A0A024R632;B7Z9T5;H3BRB3	Kinesin-like protein KIF22;Kinesin-like protein	KIF22	29.49787	29.42522	29.65315	29.94154	29.66863	29.52929	-0.187737783	0.607856575
Q14966;A8K583;D6W5H1;B4E187;Q57Z90;Q6ZQV0;A0A096LNS4	Q14966;A8K583;D6W5H1	Zinc finger protein 638	ZNF638	31.22596	30.95691	31.13919	31.00229	30.84281	30.32807	0.382965724	0.811637429
Q14997;G1UI18;F8WBH5	Q14997;G1UI18	Proteasome activator complex subunit 4	PSME4	26.50138	27.12633	26.51345	23.83528	25.04444	25.91618	1.781750997	1.308953605
Q149N6;A4D0S8;Q8N1I0;H0Y7H7;H0Y599;Q149N5;Q149N2;A0A024R749;B7Z2K9;B7Z2H5;F5GXW1;Q75MU6	Q149N6;A4D0S8;Q8N1I0;H0Y7H7;H0Y599;Q149N5;Q149N2	Dedicator of cytokinesis protein 4	DOCK4	22.65123	21.8914	23.25718	24.54793	25.05581	24.86231	-2.222080231	2.205790959
Q149N8;A0A0D9SFM0;B3KX98;K4DI94;H7C2W2;H0YBI0	Q149N8;A0A0D9SFM0;B3KX98	E3 ubiquitin-protein ligase SHPRH	SHPRH	27.51706	27.43396	27.62108	27.3424	27.15422	27.01818	0.352431615	1.503078623
Q14CB8;Q8NA01;R4GMS4;R4GNI4	Q14CB8;Q8NA01	Rho GTPase-activating protein 19	ARHGAP19	25.71654	25.68394	25.55227	25.21286	25.27853	25.26166	0.399904251	2.753081467
Q14CX7;A8K8X0;H0YHR9	Q14CX7;A8K8X0	"N-alpha-acetyltransferase 25, NatB auxiliary subunit"	NAA25	23.59286	23.58153	22.76539	25.43686	26.45732	27.31285	-3.089083989	2.151347298
Q14TF0;P48506;B4E2I4;E1CEI4;A0A0C4DGB2;D6R959;H0YAB6;D6REX4;H0Y9I7;D6RGF8	Q14TF0;P48506;B4E2I4;E1CEI4;A0A0C4DGB2	Glutamate--cysteine ligase catalytic subunit	GCLC	23.99628	24.4965	23.80104	25.32547	25.68368	26.04039	-1.585236231	2.251071885
Q15007;A8K489;A0A087X1R4;Q6AHX7;Q9BZS4	Q15007;A8K489;A0A087X1R4	Pre-mRNA-splicing regulator WTAP	WTAP	29.25802	29.10752	29.11496	29.00574	28.70378	28.70603	0.35498174	1.474850964
Q15008;B3KT66;C9J0E9;C9J7B7;H7C531	Q15008;B3KT66	26S proteasome non-ATPase regulatory subunit 6	PSMD6	27.65888	27.64554	27.47646	27.68986	28.32281	28.80753	-0.679777781	0.968203909
Q15019;B5MCX3;C9J2Q4;H7C2Y0;C9JB25;C9J938;C9IY94;H7C310;C9IZU3;C9JQJ4;C9JZI2;B5MD47;F8WB65;C9JFT1;A0A1B0GXJ2;C9JT15;C9JSE7;H7C1T1	Q15019;B5MCX3;C9J2Q4	Septin-2	Sep-02	27.78151	28.09924	27.84494	29.03354	29.39157	29.84507	-1.514836629	2.400755548
Q15020;F8VV04;B4DYA2;B4DRG9;B4E3R6;H0YHU8;F8W667;F8VVK9;F8VZM2	Q15020;F8VV04;B4DYA2;B4DRG9	Squamous cell carcinoma antigen recognized by T-cells 3	SART3	30.56919	30.60019	30.62506	29.97665	29.96829	30.23489	0.538200378	2.423597606
Q15021;F5GZK7	Q15021	Condensin complex subunit 1	NCAPD2	28.90429	28.7907	28.7925	29.41571	29.67347	29.40162	-0.66776975	2.648551267
Q15022;J3QQW9	Q15022;J3QQW9	Polycomb protein SUZ12	SUZ12	28.75373	28.52047	28.64684	28.05253	28.16821	27.79724	0.634354273	2.103984859
Q15029;Q6IBM8;B3KX19;A8KAP3;Q8IXJ3;B4DZB1;B3KWY2;K7EP67;K7EJ74;K7EIT3;K7EIV5	Q15029;Q6IBM8;B3KX19;A8KAP3;Q8IXJ3;B4DZB1;B3KWY2	116 kDa U5 small nuclear ribonucleoprotein component	EFTUD2;U5-116KD;SNRP116	32.7806	32.69822	32.77315	32.33982	32.12408	32.24247	0.515205383	2.795887201
